resume_id,filename,category,model_a,model_b,rbo,jaccard_at_10,overlap_at_10
BPO/19362586.pdf,19362586.pdf,BPO,ConFit v2,ColBERT,0.312,0.25,4
BPO/19362586.pdf,19362586.pdf,BPO,ConFit v2,CrossEncoder,0.2529,0.1111,2
BPO/19362586.pdf,19362586.pdf,BPO,ColBERT,CrossEncoder,0.1718,0.1765,3
BPO/63158213.pdf,63158213.pdf,BPO,ConFit v2,ColBERT,0.5705,0.5385,7
BPO/63158213.pdf,63158213.pdf,BPO,ConFit v2,CrossEncoder,0.2686,0.4286,6
BPO/63158213.pdf,63158213.pdf,BPO,ColBERT,CrossEncoder,0.2988,0.4286,6
BPO/89512321.pdf,89512321.pdf,BPO,ConFit v2,ColBERT,0.6138,0.6667,8
BPO/89512321.pdf,89512321.pdf,BPO,ConFit v2,CrossEncoder,0.0,0.0,0
BPO/89512321.pdf,89512321.pdf,BPO,ColBERT,CrossEncoder,0.0354,0.0526,1
BUSINESS-DEVELOPMENT/20633855.pdf,20633855.pdf,BUSINESS-DEVELOPMENT,ConFit v2,ColBERT,0.6161,0.4286,6
BUSINESS-DEVELOPMENT/20633855.pdf,20633855.pdf,BUSINESS-DEVELOPMENT,ConFit v2,CrossEncoder,0.167,0.25,4
BUSINESS-DEVELOPMENT/20633855.pdf,20633855.pdf,BUSINESS-DEVELOPMENT,ColBERT,CrossEncoder,0.1326,0.1765,3
BUSINESS-DEVELOPMENT/27004930.pdf,27004930.pdf,BUSINESS-DEVELOPMENT,ConFit v2,ColBERT,0.3986,0.3333,5
BUSINESS-DEVELOPMENT/27004930.pdf,27004930.pdf,BUSINESS-DEVELOPMENT,ConFit v2,CrossEncoder,0.0814,0.1111,2
BUSINESS-DEVELOPMENT/27004930.pdf,27004930.pdf,BUSINESS-DEVELOPMENT,ColBERT,CrossEncoder,0.0733,0.1111,2
BUSINESS-DEVELOPMENT/32531824.pdf,32531824.pdf,BUSINESS-DEVELOPMENT,ConFit v2,ColBERT,0.3309,0.25,4
BUSINESS-DEVELOPMENT/32531824.pdf,32531824.pdf,BUSINESS-DEVELOPMENT,ConFit v2,CrossEncoder,0.1651,0.1765,3
BUSINESS-DEVELOPMENT/32531824.pdf,32531824.pdf,BUSINESS-DEVELOPMENT,ColBERT,CrossEncoder,0.3362,0.4286,6
CHEF/16924102.pdf,16924102.pdf,CHEF,ConFit v2,ColBERT,0.5459,0.6667,8
CHEF/16924102.pdf,16924102.pdf,CHEF,ConFit v2,CrossEncoder,0.2422,0.3333,5
CHEF/16924102.pdf,16924102.pdf,CHEF,ColBERT,CrossEncoder,0.379,0.4286,6
CHEF/24221960.pdf,24221960.pdf,CHEF,ConFit v2,ColBERT,0.3608,0.25,4
CHEF/24221960.pdf,24221960.pdf,CHEF,ConFit v2,CrossEncoder,0.2611,0.1765,3
CHEF/24221960.pdf,24221960.pdf,CHEF,ColBERT,CrossEncoder,0.1836,0.25,4
CHEF/28424982.pdf,28424982.pdf,CHEF,ConFit v2,ColBERT,0.3797,0.1765,3
CHEF/28424982.pdf,28424982.pdf,CHEF,ConFit v2,CrossEncoder,0.2429,0.1111,2
CHEF/28424982.pdf,28424982.pdf,CHEF,ColBERT,CrossEncoder,0.6468,0.8182,9
CONSTRUCTION/19471144.pdf,19471144.pdf,CONSTRUCTION,ConFit v2,ColBERT,0.476,0.3333,5
CONSTRUCTION/19471144.pdf,19471144.pdf,CONSTRUCTION,ConFit v2,CrossEncoder,0.3244,0.1765,3
CONSTRUCTION/19471144.pdf,19471144.pdf,CONSTRUCTION,ColBERT,CrossEncoder,0.4519,0.3333,5
CONSTRUCTION/69764348.pdf,69764348.pdf,CONSTRUCTION,ConFit v2,ColBERT,0.2864,0.1765,3
CONSTRUCTION/69764348.pdf,69764348.pdf,CONSTRUCTION,ConFit v2,CrossEncoder,0.3264,0.25,4
CONSTRUCTION/69764348.pdf,69764348.pdf,CONSTRUCTION,ColBERT,CrossEncoder,0.6368,0.4286,6
CONSTRUCTION/99433371.pdf,99433371.pdf,CONSTRUCTION,ConFit v2,ColBERT,0.4749,0.5385,7
CONSTRUCTION/99433371.pdf,99433371.pdf,CONSTRUCTION,ConFit v2,CrossEncoder,0.1056,0.0526,1
CONSTRUCTION/99433371.pdf,99433371.pdf,CONSTRUCTION,ColBERT,CrossEncoder,0.2375,0.1765,3
CONSULTANT/10332998.pdf,10332998.pdf,CONSULTANT,ConFit v2,ColBERT,0.4632,0.3333,5
CONSULTANT/10332998.pdf,10332998.pdf,CONSULTANT,ConFit v2,CrossEncoder,0.3514,0.25,4
CONSULTANT/10332998.pdf,10332998.pdf,CONSULTANT,ColBERT,CrossEncoder,0.5311,0.5385,7
CONSULTANT/67406885.pdf,67406885.pdf,CONSULTANT,ConFit v2,ColBERT,0.3335,0.25,4
CONSULTANT/67406885.pdf,67406885.pdf,CONSULTANT,ConFit v2,CrossEncoder,0.2337,0.25,4
CONSULTANT/67406885.pdf,67406885.pdf,CONSULTANT,ColBERT,CrossEncoder,0.3027,0.25,4
CONSULTANT/80527194.pdf,80527194.pdf,CONSULTANT,ConFit v2,ColBERT,0.1432,0.1111,2
